"","X","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DP10","DSNW","PRCP","SNOW","TAVG","TMAX","TMIN"
"46",46,"USC00211691","COLLEGEVILLE ST. JOHN S, MN US",45.5794,-94.392,368.8,"1990-05",6,0,4.07,0,55.8,67.4,44.1
"47",47,"USC00214861","LONG PRAIRIE, MN US",45.9646,-94.8892,408.4,"1990-05",6,0,1.95,0,55.1,67.4,42.8
"48",48,"USW00014926","ST CLOUD REGIONAL AIRPORT, MN US",45.5433,-94.0513,307.5,"1990-05",7,0,3.74,0,53.9,66.5,41.3
"49",49,"USC00215325","MELROSE, MN US",45.6771,-94.802,364.2,"1990-05",6,0,2.38,0,55.5,69.1,41.9
"50",50,"USC00215615","MORA, MN US",45.8776,-93.3147,310.3,"1990-05",5,0,2.06,0,50.7,65.4,36
"51",51,"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US",44.9902,-93.17995,295.7,"1990-05",7,NA,3.82,NA,56.5,68.4,44.6
"53",53,"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,"1990-05",9,0,3.36,0,56.3,66.6,45.9
"54",54,"USC00218477","VADNAIS LAKE, MN US",45.0482,-93.0959,271.3,"1990-05",9,NA,4.11,NA,55.8,67.8,43.9
"55",55,"USC00215563","MONTEVIDEO 1 SW, MN US",44.9341,-95.74597,301.8,"1990-05",7,0,3.87,0,56.9,69.3,44.4
"56",56,"USC00211263","CANBY, MN US",44.7184,-96.2696,368.8,"1990-05",9,0,5.32,0,56.6,68,45.2
"57",57,"USC00212088","DELANO, MN US",45.0417,-93.79088,277.4,"1990-05",8,0,4.95,0,55,65.6,44.4
"58",58,"USC00215400","MILAN 1 NW, MN US",45.1219,-95.9269,310.9,"1990-05",6,0,2.83,0,56.8,68.7,44.9
"59",59,"USC00477464","ST. CROIX FALLS, WI US",45.4117,-92.6466,228.6,"1990-05",8,0,3.68,0,55.4,68.8,42
"60",60,"USC00214994","MADISON WWTP, MN US",45.0024,-96.1662,329.2,"1990-05",6,0,2.92,0,58.4,71.3,45.5
"63",63,"USC00217087","ROSEAU, MN US",48.84861,-95.7675,319.1,"1990-05",6,0,38.2,13,10.1,18.2,1.9
"64",64,"USC00218679","WARROAD, MN US",48.8947,-95.3303,327.1,"1990-05",5,0,29.8,0,9.6,15.8,3.5
"65",65,"USC00213455","HALLOCK, MN US",48.7715,-96.9406,248.4,"1990-05",3,0,21.9,0,11.5,18.5,4.4
"66",66,"USC00213290","GRAND MEADOW, MN US",43.7047,-92.5644,411.5,"1990-05",7,0,3.74,0,53.6,64.1,43
"67",67,"USC00219046","WINNEBAGO, MN US",43.7639,-94.1662,338.3,"1990-05",9,0,6.13,0,54.7,65.1,44.2
"68",68,"USC00219033","WINDOM, MN US",43.877,-95.1159,421.8,"1990-05",8,0,4.61,0,55,66.3,43.8
"69",69,"USC00219170","WORTHINGTON 2 NNE, MN US",43.6449,-95.5802,478.5,"1990-05",7,0,4.36,0,54.4,65.4,43.4
"72",72,"USC00210355","AUSTIN WASTE WATER TREATMENT FACILITY, MN US",43.6542,-92.9739,365.5,"1990-05",5,0,3.63,0,54.7,64.5,44.9
"73",73,"USC00214937","LUVERNE, MN US",43.6658,-96.2022,457.2,"1990-05",9,0,4.48,0,55.8,67.9,43.6
"74",74,"USW00014920","LA CROSSE MUNICIPAL AIRPORT, WI US",43.8788,-91.2527,198.7,"1990-05",5,0,3.74,0,56.6,67.3,45.8
"75",75,"USC00211198","CALEDONIA, MN US",43.6309,-91.5027,355.4,"1990-05",7,0,4.82,0,53.3,63,43.6
"76",76,"USC00210075","ALBERT LEA 3 SE, MN US",43.6064,-93.3019,374.9,"1990-05",7,0,4.27,0,54.4,64.7,44.3
"77",77,"USC00216654","PRESTON, MN US",43.6725,-92.0747,283.5,"1990-05",8,0,3.84,0,53.8,64.8,42.7
"78",78,"USC00473038","GENOA DAM 8, WI US",43.5705,-91.2295,194.8,"1990-05",8,0,4.7,0,56.4,66.6,46.1
